Aberavon,WAL
Aberconwy,WAL
Aberdeen North,SCO
Aberdeen South,SCO
Airdrie and Shotts,SCO
Aldershot,SE
Aldridge-Brownhills,WM
Altrincham and Sale West,NW
Alyn and Deeside,WAL
Amber Valley,EM
Angus,SCO
Arfon,WAL
Argyll and Bute,SCO
Arundel and South Downs,SE
Ashfield,EM
Ashford,SE
Ashton-Under-Lyne,NW
Aylesbury,SE
Ayr Carrick and Cumnock,SCO
Banbury,SE
Banff and Buchan,SCO
Barking,LDN
Barnsley Central,YOR
Barnsley East,YOR
Barrow and Furness,NW
Basildon and Billericay,E
Basingstoke,SE
Bassetlaw,EM
Bath,SW
Batley and Spen,YOR
Battersea,LDN
Beaconsfield,SE
Beckenham,LDN
Bedford,E
Belfast East,NI
Belfast North,NI
Belfast South,NI
Belfast West,NI
Bermondsey and Old Southwark,LDN
Berwickshire Roxburgh and Selkirk,SCO
Berwick-Upon-Tweed,NE
Bethnal Green and Bow,LDN
Beverley and Holderness,YOR
Bexhill and Battle,SE
Bexleyheath and Crayford,LDN
Birkenhead,NW
Birmingham Edgbaston,WM
Birmingham Erdington,WM
Birmingham Hall Green,WM
Birmingham Hodge Hill,WM
Birmingham Ladywood,WM
Birmingham Northfield,WM
Birmingham Perry Barr,WM
Birmingham Selly Oak,WM
Birmingham Yardley,WM
Bishop Auckland,NE
Blackburn,NW
Blackley and Broughton,NW
Blackpool North and Cleveleys,NW
Blackpool South,NW
Blaenau Gwent,WAL
Blaydon,NE
Blyth Valley,NE
Bognor Regis and Littlehampton,SE
Bolsover,EM
Bolton North East,NW
Bolton South East,NW
Bolton West,NW
Bootle,NW
Boston and Skegness,EM
Bosworth,EM
Bournemouth East,SW
Bournemouth West,SW
Bracknell,SE
Bradford East,YOR
Bradford South,YOR
Bradford West,YOR
Braintree,E
Brecon and Radnorshire,WAL
Brent Central,LDN
Brent North,LDN
Brentford and Isleworth,LDN
Brentwood and Ongar,E
Bridgend,WAL
Bridgwater and West Somerset,SW
Brigg and Goole,YOR
Brighton Kemptown,SE
Brighton Pavilion,SE
Bristol East,SW
Bristol North West,SW
Bristol South,SW
Bristol West,SW
Broadland,E
Bromley and Chislehurst,LDN
Bromsgrove,WM
Broxbourne,E
Broxtowe,EM
Buckingham,SE
Burnley,NW
Burton,WM
Bury North,NW
Bury South,NW
Bury St Edmunds,E
Caerphilly,WAL
Caithness Sutherland and Easter Ross,SCO
Calder Valley,YOR
Camberwell and Peckham,LDN
Camborne and Redruth,SW
Cambridge,E
Cannock Chase,WM
Canterbury,SE
Cardiff Central,WAL
Cardiff North,WAL
Cardiff South and Penarth,WAL
Cardiff West,WAL
Carlisle,NW
Carmarthen East and Dinefwr,WAL
Carmarthen West and South Pembrokeshire,WAL
Carshalton and Wallington,LDN
Castle Point,E
Central Ayrshire,SCO
Central Devon,SW
Central Suffolk and North Ipswich,E
Ceredigion,WAL
Charnwood,EM
Chatham and Aylesford,SE
Cheadle,NW
Chelmsford,E
Chelsea and Fulham,LDN
Cheltenham,SW
Chesham and Amersham,SE
Chesterfield,EM
Chichester,SE
Chingford and Woodford Green,LDN
Chippenham,SW
Chipping Barnet,LDN
Chorley,NW
Christchurch,SW
Cities Of London and Westminster,LDN
City Of Chester,NW
City Of Durham,NE
Clacton,E
Cleethorpes,YOR
Clwyd South,WAL
Clwyd West,WAL
Coatbridge Chryston and Bellshill,SCO
Colchester,E
Colne Valley,YOR
Congleton,NW
Copeland,NW
Corby,EM
Coventry North East,WM
Coventry North West,WM
Coventry South,WM
Crawley,SE
Crewe and Nantwich,NW
Croydon Central,LDN
Croydon North,LDN
Croydon South,LDN
Cumbernauld Kilsyth and Kirkintilloch East,SCO
Cynon Valley,WAL
Dagenham and Rainham,LDN
Darlington,NE
Dartford,SE
Daventry,EM
Delyn,WAL
Denton and Reddish,NW
Derby North,EM
Derby South,EM
Derbyshire Dales,EM
Devizes,SW
Dewsbury,YOR
Don Valley,YOR
Doncaster Central,YOR
Doncaster North,YOR
Dover,SE
Dudley North,WM
Dudley South,WM
Dulwich and West Norwood,LDN
Dumfries and Galloway,SCO
Dumfriesshire Clydesdale and Tweeddale,SCO
Dundee East,SCO
Dundee West,SCO
Dunfermline and West Fife,SCO
Dwyfor Meirionnydd,WAL
Ealing Central and Acton,LDN
Ealing North,LDN
Ealing Southall,LDN
Easington,NE
East Antrim,NI
East Devon,SW
East Dunbartonshire,SCO
East Ham,LDN
East Hampshire,SE
East Kilbride Strathaven and Lesmahagow,SCO
East Londonderry,NI
East Lothian,SCO
East Renfrewshire,SCO
East Surrey,SE
East Worthing and Shoreham,SE
East Yorkshire,YOR
Eastbourne,SE
Eastleigh,SE
Eddisbury,NW
Edinburgh East,SCO
Edinburgh North and Leith,SCO
Edinburgh South,SCO
Edinburgh South West,SCO
Edinburgh West,SCO
Edmonton,LDN
Ellesmere Port and Neston,NW
Elmet and Rothwell,YOR
Eltham,LDN
Enfield North,LDN
Enfield Southgate,LDN
Epping Forest,E
Epsom and Ewell,SE
Erewash,EM
Erith and Thamesmead,LDN
Esher and Walton,SE
Exeter,SW
Falkirk,SCO
Fareham,SE
Faversham and Mid Kent,SE
Feltham and Heston,LDN
Fermanagh and South Tyrone,NI
Filton and Bradley Stoke,SW
Finchley and Golders Green,LDN
Folkestone and Hythe,SE
Forest Of Dean,SW
Foyle,NI
Fylde,NW
Gainsborough,EM
Garston and Halewood,NW
Gateshead,NE
Gedling,EM
Gillingham and Rainham,SE
Glasgow Central,SCO
Glasgow East,SCO
Glasgow North,SCO
Glasgow North East,SCO
Glasgow North West,SCO
Glasgow South,SCO
Glasgow South West,SCO
Glenrothes,SCO
Gloucester,SW
Gordon,SCO
Gosport,SE
Gower,WAL
Grantham and Stamford,EM
Gravesham,SE
Great Grimsby,YOR
Great Yarmouth,E
Greenwich and Woolwich,LDN
Guildford,SE
Hackney North and Stoke Newington,LDN
Hackney South and Shoreditch,LDN
Halesowen and Rowley Regis,WM
Halifax,YOR
Haltemprice and Howden,YOR
Halton,NW
Hammersmith,LDN
Hampstead and Kilburn,LDN
Harborough,EM
Harlow,E
Harrogate and Knaresborough,YOR
Harrow East,LDN
Harrow West,LDN
Hartlepool,NE
Harwich and North Essex,E
Hastings and Rye,SE
Havant,SE
Hayes and Harlington,LDN
Hazel Grove,NW
Hemel Hempstead,E
Hemsworth,YOR
Hendon,LDN
Henley,SE
Hereford and South Herefordshire,WM
Hertford and Stortford,E
Hertsmere,E
Hexham,NE
Heywood and Middleton,NW
High Peak,EM
Hitchin and Harpenden,E
Holborn and St Pancras,LDN
Hornchurch and Upminster,LDN
Hornsey and Wood Green,LDN
Horsham,SE
Houghton and Sunderland South,NE
Hove,SE
Huddersfield,YOR
Huntingdon,E
Hyndburn,NW
Ilford North,LDN
Ilford South,LDN
Inverclyde,SCO
Inverness Nairn Badenoch and Strathspey,SCO
Ipswich,E
Isle Of Wight,SE
Islington North,LDN
Islington South and Finsbury,LDN
Islwyn,WAL
Jarrow,NE
Keighley,YOR
Kenilworth and Southam,WM
Kensington,LDN
Kettering,EM
Kilmarnock and Loudoun,SCO
Kingston and Surbiton,LDN
Kingston upon Hull East,YOR
Kingston upon Hull North,YOR
Kingston upon Hull West and Hessle,YOR
Kingswood,SW
Kirkcaldy and Cowdenbeath,SCO
Knowsley,NW
Lagan Valley,NI
Lanark and Hamilton East,SCO
Lancaster and Fleetwood,NW
Leeds Central,YOR
Leeds East,YOR
Leeds North East,YOR
Leeds North West,YOR
Leeds West,YOR
Leicester East,EM
Leicester South,EM
Leicester West,EM
Leigh,NW
Lewes,SE
Lewisham East,LDN
Lewisham West and Penge,LDN
Lewisham Deptford,LDN
Leyton and Wanstead,LDN
Lichfield,WM
Lincoln,EM
Linlithgow and East Falkirk,SCO
Liverpool Riverside,NW
Liverpool Walton,NW
Liverpool Wavertree,NW
Liverpool West Derby,NW
Livingston,SCO
